species,inat_taxon_id,inat_name,inat_research_grade_obs,inat_total_photos,inat_photo_total_method,inat_sec_per_species,inat_error,gbif_key,gbif_human_obs,gbif_specimen_obs,gbif_photos,gbif_specimen_photos,combined_obs,combined_obs_specimens,combined_photos,combined_photos_specimens,family,species_binom,family_trait,genus,species_trait,hair_dimorphism,natal_coat,natal_coat_type,hair_dichromatism_any,hair_dichromatism_complete,hair_dichromatism_state,hair_dichromatism_type,ontogenetic_trajectory_color,type,key
Macaca mulatta,43460.0,Macaca mulatta,5942,9210,estimate,3.59,,2436604.0,3989.0,477.0,8217.0,968.0,9931.0,10408.0,17427.0,18395.0,Cercopithecidae,Macaca mulatta,cercopithecidae,macaca,mulatta,0,0,,0,0,0,,mono_stable,additional,Macaca mulatta
Macaca nemestrina,43455.0,Macaca nemestrina,1548,2073,exact,9.53,,2436611.0,1052.0,124.0,1936.0,367.0,2600.0,2724.0,4009.0,4376.0,Cercopithecidae,Macaca nemestrina,cercopithecidae,macaca,nemestrina,0,0,,0,0,0,,mono_stable,additional,Macaca nemestrina
Macaca nigra,43457.0,Macaca nigra,343,690,exact,4.66,,2436616.0,223.0,85.0,463.0,176.0,566.0,651.0,1153.0,1329.0,Cercopithecidae,Macaca nigra,cercopithecidae,macaca,nigra,0,0,,0,0,0,,mono_stable,additional,Macaca nigra
Macaca nigrescens,74533.0,Macaca nigrescens,20,33,exact,0.83,,4267157.0,10.0,2.0,22.0,4.0,30.0,32.0,55.0,59.0,Cercopithecidae,Macaca nigrescens,cercopithecidae,macaca,nigrescens,0,0,,0,0,0,,mono_stable,additional,Macaca nigrescens
Macaca ochreata,43447.0,Macaca ochreata,13,18,exact,0.73,,2436607.0,15.0,9.0,20.0,18.0,28.0,37.0,38.0,56.0,Cercopithecidae,Macaca ochreata,cercopithecidae,macaca,ochreata,0,0,,0,0,0,,mono_stable,additional,Macaca ochreata
Macaca radiata,43448.0,Macaca radiata,2970,3394,exact,18.67,,2436612.0,2039.0,12.0,3507.0,21.0,5009.0,5021.0,6901.0,6922.0,Cercopithecidae,Macaca radiata,cercopithecidae,macaca,radiata,0,0,,0,0,0,,mono_stable,additional,Macaca radiata
Macaca silenus,43446.0,Macaca silenus,301,536,exact,4.5,,2436617.0,265.0,19.0,509.0,36.0,566.0,585.0,1045.0,1081.0,Cercopithecidae,Macaca silenus,cercopithecidae,macaca,silenus,0,0,,0,0,0,,mono_stable,additional,Macaca silenus
Macaca sinica,43456.0,Macaca sinica,1663,2253,exact,12.05,,2436613.0,1214.0,36.0,2677.0,67.0,2877.0,2913.0,4930.0,4997.0,Cercopithecidae,Macaca sinica,cercopithecidae,macaca,sinica,0,0,,0,0,0,,mono_stable,additional,Macaca sinica
Macaca sylvanus,43452.0,Macaca sylvanus,2121,2482,exact,25.42,,2436618.0,1825.0,49.0,3221.0,109.0,3946.0,3995.0,5703.0,5812.0,Cercopithecidae,Macaca sylvanus,cercopithecidae,macaca,sylvanus,0,0,,0,0,0,,mono_stable,additional,Macaca sylvanus
Macaca thibetana,43451.0,Macaca thibetana,256,396,exact,4.02,,2436609.0,171.0,17.0,346.0,48.0,427.0,444.0,742.0,790.0,Cercopithecidae,Macaca thibetana,cercopithecidae,macaca,thibetana,0,0,,0,0,0,,mono_stable,additional,Macaca thibetana
Macaca tonkeana,43453.0,Macaca tonkeana,41,60,exact,0.98,,2436614.0,29.0,18.0,43.0,35.0,70.0,88.0,103.0,138.0,Cercopithecidae,Macaca tonkeana,cercopithecidae,macaca,tonkeana,0,0,,0,0,0,,mono_stable,additional,Macaca tonkeana
Mandrillus leucophaeus,43532.0,Mandrillus leucophaeus,13,18,exact,0.96,,5219557.0,13.0,18.0,18.0,38.0,26.0,44.0,36.0,74.0,Cercopithecidae,Mandrillus leucophaeus,cercopithecidae,mandrillus,leucophaeus,0,0,,0,0,0,,mono_stable,additional,Mandrillus leucophaeus
Mandrillus sphinx,43533.0,Mandrillus sphinx,96,156,exact,6.52,,5219556.0,107.0,39.0,163.0,71.0,203.0,242.0,319.0,390.0,Cercopithecidae,Mandrillus sphinx,cercopithecidae,mandrillus,sphinx,0,0,,0,0,0,,mono_stable,additional,Mandrillus sphinx
Mico argentatus,64523.0,Mico argentatus,63,140,exact,2.32,,5786456.0,30.0,57.0,85.0,126.0,93.0,150.0,225.0,351.0,Callitrichidae,Mico argentatus,callitrichidae,mico,argentata,0,0,,0,0,0,,mono_stable,additional,Mico argentatus
Mico humeralifer,74576.0,Mico humeralifer,20,42,exact,0.66,,5786463.0,13.0,16.0,38.0,45.0,33.0,49.0,80.0,125.0,Callitrichidae,Mico humeralifer,callitrichidae,mico,humeralifer,0,0,,0,0,0,,mono_stable,additional,Mico humeralifer
Mico mauesi,74579.0,Mico mauesi,0,0,exact,0.09,,5786464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Callitrichidae,Mico mauesi,callitrichidae,mico,mauesi,0,0,,0,0,0,,mono_stable,additional,Mico mauesi
Mico nigriceps,64524.0,Mico nigriceps,3,8,exact,3.19,,5786461.0,1.0,0.0,1.0,0.0,4.0,4.0,9.0,9.0,Callitrichidae,Mico nigriceps,callitrichidae,mico,nigriceps,0,0,,0,0,0,,mono_stable,additional,Mico nigriceps
Microcebus murinus,43546.0,Microcebus murinus,109,183,exact,3.58,,2436447.0,81.0,27.0,139.0,74.0,190.0,217.0,322.0,396.0,Cheirogaleidae,Microcebus murinus,cheirogaleidae,microcebus,murinus,0,0,,0,0,0,,mono_stable,additional,Microcebus murinus
Microcebus myoxinus,74592.0,Microcebus myoxinus,4,11,exact,0.52,,4266979.0,5.0,0.0,13.0,0.0,9.0,9.0,24.0,24.0,Cheirogaleidae,Microcebus myoxinus,cheirogaleidae,microcebus,myoxinus,0,0,,0,0,0,,mono_stable,additional,Microcebus myoxinus
Microcebus rufus,43548.0,Microcebus rufus,148,247,exact,2.75,,2436448.0,112.0,7.0,185.0,42.0,260.0,267.0,432.0,474.0,Cheirogaleidae,Microcebus rufus,cheirogaleidae,microcebus,rufus,0,0,,0,0,0,,mono_stable,additional,Microcebus rufus
Miopithecus talapoin,43543.0,Miopithecus talapoin,7,9,exact,2.08,,2436591.0,1.0,34.0,3.0,66.0,8.0,42.0,12.0,78.0,Cercopithecidae,Miopithecus talapoin,cercopithecidae,miopithecus,talapoin,0,0,,0,0,0,,mono_stable,additional,Miopithecus talapoin
Mirza coquereli,74635.0,Mirza coquereli,5,9,exact,0.52,,4266974.0,1.0,7.0,1.0,14.0,6.0,13.0,10.0,24.0,Cheirogaleidae,Mirza coquereli,cheirogaleidae,mizra,coquereli,0,0,,0,0,0,,mono_stable,additional,Mirza coquereli
Nasalis larvatus,43538.0,Nasalis larvatus,2121,2916,exact,18.49,,2436525.0,1352.0,85.0,2650.0,260.0,3473.0,3558.0,5566.0,5826.0,Cercopithecidae,Nasalis larvatus,cercopithecidae,nasalis,larvatus,0,0,,0,0,0,,mono_stable,additional,Nasalis larvatus
Nycticebus coucang,43627.0,Nycticebus coucang,214,356,exact,3.83,,2436629.0,111.0,80.0,198.0,139.0,325.0,405.0,554.0,693.0,Lorisidae,Nycticebus coucang,loridae,nycticebus,coucang,0,0,,0,0,0,,mono_stable,additional,Nycticebus coucang
Nycticebus pygmaeus,1398534.0,Xanthonycticebus pygmaeus,27,55,exact,1.01,,2436628.0,0.0,4.0,0.0,9.0,27.0,31.0,55.0,64.0,Lorisidae,Nycticebus pygmaeus,loridae,nycticebus,pygmaeus,0,0,,0,0,0,,mono_stable,additional,Xanthonycticebus pygmaeus
Otolemur crassicaudatus,43567.0,Otolemur crassicaudatus,400,691,exact,5.3,,8978926.0,298.0,147.0,504.0,379.0,698.0,845.0,1195.0,1574.0,Galagidae,Otolemur crassicaudatus,galagonidae,otolemur,crassicaudatus,0,0,,0,0,0,,mono_stable,additional,Otolemur crassicaudatus
Otolemur garnettii,43568.0,Otolemur garnettii,229,333,exact,4.49,,2436511.0,167.0,83.0,281.0,161.0,396.0,479.0,614.0,775.0,Galagidae,Otolemur garnettii,galagonidae,otolemur,garnettii,0,0,,0,0,0,,mono_stable,additional,Otolemur garnettii
Pan paniscus,43578.0,Pan paniscus,10,15,exact,1.05,,5219533.0,7.0,8.0,10.0,58.0,17.0,25.0,25.0,83.0,Hominidae,Pan paniscus,hominidae,pan,paniscus,0,0,,0,0,0,,mono_stable,additional,Pan paniscus
Pan troglodytes,43577.0,Pan troglodytes,1018,1701,exact,28.91,,5219534.0,803.0,196.0,1425.0,745.0,1821.0,2017.0,3126.0,3871.0,Hominidae,Pan troglodytes,hominidae,pan,troglodytes,0,0,,0,0,0,,mono_stable,additional,Pan troglodytes
Papio cynocephalus,67683.0,Papio cynocephalus,1120,1306,exact,6.89,,7262027.0,879.0,44.0,1613.0,105.0,1999.0,2043.0,2919.0,3024.0,Cercopithecidae,Papio cynocephalus,cercopithecidae,papio,cynocephalus,0,0,,0,0,0,,mono_stable,additional,Papio cynocephalus
Perodicticus potto,549032.0,Perodicticus potto,34,51,exact,1.07,,2436624.0,24.0,133.0,36.0,247.0,58.0,191.0,87.0,334.0,Lorisidae,Perodicticus potto,loridae,perodicticus,potto,0,0,,0,0,0,,mono_stable,additional,Perodicticus potto
Phaner furcifer,43555.0,Phaner furcifer,0,0,exact,0.1,,2436443.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,Cheirogaleidae,Phaner furcifer,cheirogaleidae,phaner,furcifer,0,0,,0,0,0,,mono_stable,additional,Phaner furcifer
Pithecia aequatorialis,43646.0,Pithecia aequatorialis,7,9,exact,0.4,,2436371.0,6.0,0.0,8.0,0.0,13.0,13.0,17.0,17.0,Pitheciidae,Pithecia aequatorialis,cebidae,pithecia,aequatorialis,0,0,,0,0,0,,mono_stable,additional,Pithecia aequatorialis
Pithecia albicans,43644.0,Pithecia albicans,0,0,exact,0.1,,2436374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pitheciidae,Pithecia albicans,cebidae,pithecia,albicans,0,0,,0,0,0,,mono_stable,additional,Pithecia albicans
Pithecia irrorata,855277.0,Pithecia irrorata,78,137,exact,6.03,,2436372.0,38.0,0.0,53.0,0.0,116.0,116.0,190.0,190.0,Pitheciidae,Pithecia irrorata,cebidae,pithecia,irrorata,0,0,,0,0,0,,mono_stable,additional,Pithecia irrorata
Pithecia monachus,852369.0,Pithecia monachus,33,64,exact,1.19,,2436375.0,23.0,46.0,46.0,103.0,56.0,102.0,110.0,213.0,Pitheciidae,Pithecia monachus,cebidae,pithecia,monachus,0,0,,0,0,0,,mono_stable,additional,Pithecia monachus
Plecturocebus brunneus,926855.0,Plecturocebus brunneus,28,65,exact,0.89,,9410326.0,16.0,0.0,24.0,0.0,44.0,44.0,89.0,89.0,Pitheciidae,Plecturocebus brunneus,cebidae,callicebus,brunneus,0,0,,0,0,0,,mono_stable,additional,Plecturocebus brunneus
Callicebus dubius,,,0,0,no_inat_entry,,Species not in iNaturalist,2436403.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Pitheciidae,Plecturocebus dubius,cebidae,callicebus,dubius,0,0,,0,0,0,,mono_stable,additional,Callicebus dubius
Pongo abelii,569678.0,Pongo abelii,585,1100,exact,5.43,,5707420.0,427.0,39.0,1042.0,108.0,1012.0,1051.0,2142.0,2250.0,Hominidae,Pongo abelii,pongidae,pongo,abelii,0,0,,0,0,0,,mono_stable,additional,Pongo abelii
Pongo pygmaeus,43582.0,Pongo pygmaeus,1671,2427,exact,14.77,,5219532.0,1163.0,196.0,2407.0,566.0,2834.0,3030.0,4834.0,5400.0,Hominidae,Pongo pygmaeus,pongidae,pongo,pygmaeus,0,0,,0,0,0,,mono_stable,additional,Pongo pygmaeus
Presbytis comata,43507.0,Presbytis comata,105,167,exact,2.53,,5219565.0,59.0,7.0,94.0,23.0,164.0,171.0,261.0,284.0,Cercopithecidae,Presbytis comata,cercopithecidae,presbytis,comata,0,0,,0,0,0,,mono_stable,additional,Presbytis comata
Presbytis femoralis,43506.0,Presbytis femoralis,262,385,exact,3.42,,5219562.0,151.0,14.0,317.0,42.0,413.0,427.0,702.0,744.0,Cercopithecidae,Presbytis femoralis,cercopithecidae,presbytis,femoralis,0,0,,0,0,0,,mono_stable,additional,Presbytis femoralis
Procolobus badius,1368499.0,Piliocolobus badius,217,337,exact,4.01,,2436600.0,0.0,7.0,0.0,7.0,217.0,224.0,337.0,344.0,Cercopithecidae,Piliocolobus badius,cercopithecidae,procolobus_(piliocolobus),badius,0,0,,0,0,0,,mono_stable,additional,Piliocolobus badius
Procolobus pennantii,502987.0,Piliocolobus pennantii,3,5,exact,0.42,,2436598.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,5.0,Cercopithecidae,Piliocolobus pennantii,cercopithecidae,procolobus_(piliocolobus),pennantii,0,0,,0,0,0,,mono_stable,additional,Piliocolobus pennantii
Procolobus preussi,502507.0,Piliocolobus preussi,1,1,exact,1.15,,2436601.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,Cercopithecidae,Piliocolobus preussi,cercopithecidae,procolobus_(piliocolobus),preussi,0,0,,0,0,0,,mono_stable,additional,Piliocolobus preussi
Procolobus rufomitratus,520070.0,Piliocolobus rufomitratus,20,75,exact,4.08,,2436599.0,0.0,0.0,0.0,0.0,20.0,20.0,75.0,75.0,Cercopithecidae,Piliocolobus rufomitratus,cercopithecidae,procolobus_(piliocolobus),rufomitratus,0,0,,0,0,0,,mono_stable,additional,Piliocolobus rufomitratus
Procolobus verus,43512.0,Procolobus verus,13,14,exact,0.68,,2436597.0,12.0,20.0,21.0,39.0,25.0,45.0,35.0,74.0,Cercopithecidae,Piliocolobus verus,cercopithecidae,procolobus_(piliocolobus),verus,0,0,,0,0,0,,mono_stable,additional,Procolobus verus
Prolemur simus,74956.0,Prolemur simus,173,377,exact,3.2,,4266938.0,118.0,1.0,269.0,1.0,291.0,292.0,646.0,647.0,Lemuridae,Prolemur simus,lemuridae,prolemur,simus,0,0,,0,0,0,,mono_stable,additional,Prolemur simus
Propithecus diadema,43604.0,Propithecus diadema,466,792,exact,5.65,,5219529.0,317.0,22.0,688.0,61.0,783.0,805.0,1480.0,1541.0,Indriidae,Propithecus diadema,indridae,propithecus,diadema,0,0,,0,0,0,,mono_stable,additional,Propithecus diadema
Propithecus tattersalli,43602.0,Propithecus tattersalli,65,97,exact,1.0,,5219528.0,15.0,0.0,36.0,0.0,80.0,80.0,133.0,133.0,Indriidae,Propithecus tattersalli,indridae,propithecus,tattersalli,0,0,,0,0,0,,mono_stable,additional,Propithecus tattersalli
Propithecus verreauxi,43603.0,Propithecus verreauxi,728,1178,exact,7.16,,5219530.0,384.0,13.0,862.0,17.0,1112.0,1125.0,2040.0,2057.0,Indriidae,Propithecus verreauxi,indridae,propithecus,verreauxi,0,0,,0,0,0,,mono_stable,additional,Propithecus verreauxi
Pygathrix cinerea,74991.0,Pygathrix cinerea,8,8,exact,0.65,,4267165.0,8.0,0.0,9.0,0.0,16.0,16.0,17.0,17.0,Cercopithecidae,Pygathrix cinerea,cercopithecidae,pygathrix,cinerea,0,0,,0,0,0,,mono_stable,additional,Pygathrix cinerea
Pygathrix nemaeus,43517.0,Pygathrix nemaeus,255,313,exact,4.86,,2436529.0,186.0,29.0,314.0,90.0,441.0,470.0,627.0,717.0,Cercopithecidae,Pygathrix nemaeus,cercopithecidae,pygathrix,nemaeus,0,0,,0,0,0,,mono_stable,additional,Pygathrix nemaeus
Pygathrix nigripes,74992.0,Pygathrix nigripes,245,298,exact,4.18,,4267166.0,123.0,14.0,195.0,32.0,368.0,382.0,493.0,525.0,Cercopithecidae,Pygathrix nigripes,cercopithecidae,pygathrix,nigripes,0,0,,0,0,0,,mono_stable,additional,Pygathrix nigripes
Rhinopithecus avunculus,75025.0,Rhinopithecus avunculus,3,5,exact,0.64,,4267009.0,2.0,1.0,4.0,5.0,5.0,6.0,9.0,14.0,Cercopithecidae,Rhinopithecus avunculus,cercopithecidae,rhinopithecus,avunculus,0,0,,0,0,0,,mono_stable,additional,Rhinopithecus avunculus
Rhinopithecus bieti,75026.0,Rhinopithecus bieti,62,105,exact,2.11,,4267007.0,47.0,6.0,63.0,40.0,109.0,115.0,168.0,208.0,Cercopithecidae,Rhinopithecus bieti,cercopithecidae,rhinopithecus,bieti,0,0,,0,0,0,,mono_stable,additional,Rhinopithecus bieti
Rhinopithecus brelichi,75027.0,Rhinopithecus brelichi,1,1,exact,2.49,,4267005.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,Cercopithecidae,Rhinopithecus brelichi,cercopithecidae,rhinopithecus,brelichi,0,0,,0,0,0,,mono_stable,additional,Rhinopithecus brelichi
Saguinus bicolor,43383.0,Saguinus bicolor,125,216,exact,2.83,,2436470.0,88.0,2.0,151.0,6.0,213.0,215.0,367.0,373.0,Callitrichidae,Saguinus bicolor,callitrichidae,saguinus,bicolor,0,0,,0,0,0,,mono_stable,additional,Saguinus bicolor
Saguinus geoffroyi,43384.0,Saguinus geoffroyi,1275,1703,exact,9.92,,2436466.0,890.0,216.0,1584.0,484.0,2165.0,2381.0,3287.0,3771.0,Callitrichidae,Saguinus geoffroyi,callitrichidae,saguinus,geoffroyi,0,0,,0,0,0,,mono_stable,additional,Saguinus geoffroyi
Saguinus imperator,43390.0,Saguinus imperator,217,372,exact,4.95,,2436471.0,112.0,51.0,198.0,100.0,329.0,380.0,570.0,670.0,Callitrichidae,Saguinus imperator,callitrichidae,saguinus,imperator,0,0,,0,0,0,,mono_stable,additional,Saguinus imperator
Saguinus inustus,43382.0,Saguinus inustus,29,38,exact,1.41,,2436475.0,20.0,0.0,29.0,0.0,49.0,49.0,67.0,67.0,Callitrichidae,Saguinus inustus,callitrichidae,saguinus,inustus,0,0,,0,0,0,,mono_stable,additional,Saguinus inustus
Saguinus labiatus,43388.0,Saguinus labiatus,36,66,exact,1.1,,9178968.0,17.0,42.0,24.0,90.0,53.0,95.0,90.0,180.0,Callitrichidae,Saguinus labiatus,callitrichidae,saguinus,labiatus,0,0,,0,0,0,,mono_stable,additional,Saguinus labiatus
Saguinus leucopus,43385.0,Saguinus leucopus,448,755,exact,7.05,,2436476.0,242.0,33.0,421.0,112.0,690.0,723.0,1176.0,1288.0,Callitrichidae,Saguinus leucopus,callitrichidae,saguinus,leucopus,0,0,,0,0,0,,mono_stable,additional,Saguinus leucopus
Saguinus midas,43387.0,Saguinus midas,215,342,exact,3.29,,2436468.0,186.0,58.0,301.0,126.0,401.0,459.0,643.0,769.0,Callitrichidae,Saguinus midas,callitrichidae,saguinus,midas,0,0,,0,0,0,,mono_stable,additional,Saguinus midas
Saguinus mystax,43380.0,Saguinus mystax,36,52,exact,1.04,,2436472.0,28.0,66.0,44.0,132.0,64.0,130.0,96.0,228.0,Callitrichidae,Saguinus mystax,callitrichidae,saguinus,mystax,0,0,,0,0,0,,mono_stable,additional,Saguinus mystax
Saguinus oedipus,43391.0,Saguinus oedipus,593,843,exact,5.98,,2436469.0,386.0,329.0,847.0,668.0,979.0,1308.0,1690.0,2358.0,Callitrichidae,Saguinus oedipus,callitrichidae,saguinus,oedipus,0,0,,0,0,0,,mono_stable,additional,Saguinus oedipus
Saimiri boliviensis,43426.0,Saimiri boliviensis,846,1196,exact,5.15,,2436663.0,554.0,24.0,1166.0,44.0,1400.0,1424.0,2362.0,2406.0,Cebidae,Saimiri boliviensis,cebidae,saimiri,boliviensis,0,0,,0,0,0,,mono_stable,additional,Saimiri boliviensis
Saimiri oerstedii,43425.0,Saimiri oerstedii,2234,3010,exact,11.18,,2436664.0,1425.0,38.0,2572.0,92.0,3659.0,3697.0,5582.0,5674.0,Cebidae,Saimiri oerstedii,cebidae,saimiri,oerstedii,0,0,,0,0,0,,mono_stable,additional,Saimiri oerstedii
Saimiri sciureus,43428.0,Saimiri sciureus,448,680,exact,5.26,,2436661.0,428.0,691.0,740.0,1361.0,876.0,1567.0,1420.0,2781.0,Cebidae,Saimiri sciureus,cebidae,saimiri,sciureus,0,0,,0,0,0,,mono_stable,additional,Saimiri sciureus
Saimiri ustus,43427.0,Saimiri ustus,140,243,exact,2.96,,8885431.0,78.0,4.0,132.0,7.0,218.0,222.0,375.0,382.0,Cebidae,Saimiri ustus,cebidae,saimiri,ustus,0,0,,0,0,0,,mono_stable,additional,Saimiri ustus
Saimiri vanzolinii,43424.0,Saimiri vanzolinii,18,18,exact,1.26,,2436660.0,7.0,0.0,7.0,0.0,25.0,25.0,25.0,25.0,Cebidae,Saimiri vanzolinii,cebidae,saimiri,vanzolinii,0,0,,0,0,0,,mono_stable,additional,Saimiri vanzolinii
Sapajus apella,496700.0,Sapajus apella,1490,1761,exact,9.02,,7477334.0,958.0,311.0,1691.0,690.0,2448.0,2759.0,3452.0,4142.0,Cebidae,Sapajus apella,cebidae,sapajus,apella,0,0,,0,0,0,,mono_stable,additional,Sapajus apella
Sciurocheirus alleni,75065.0,Sciurocheirus alleni,5,6,exact,0.59,,7342635.0,1.0,19.0,1.0,27.0,6.0,25.0,7.0,34.0,Galagidae,Sciurocheirus alleni,galagonidae,sciurocheirus,alleni,0,0,,0,0,0,,mono_stable,additional,Sciurocheirus alleni
Simias concolor,75081.0,Simias concolor,4,5,exact,0.38,,4267130.0,4.0,17.0,5.0,62.0,8.0,25.0,10.0,72.0,Cercopithecidae,Simias concolor,cercopithecidae,simias,concolor,0,0,,0,0,0,,mono_stable,additional,Simias concolor
Symphalangus syndactylus,75115.0,Symphalangus syndactylus,348,634,exact,9.19,,4267277.0,220.0,55.0,384.0,141.0,568.0,623.0,1018.0,1159.0,Hylobatidae,Symphalangus syndactylus,hylobatidae,symphalangus_,syndactylus,0,0,,0,0,0,,mono_stable,additional,Symphalangus syndactylus
Tarsius bancanus,1369285.0,Cephalopachus bancanus,304,589,exact,4.13,,2436487.0,0.0,1.0,0.0,1.0,304.0,305.0,589.0,590.0,Tarsiidae,Tarsius bancanus,tarsiidae,tarsius,bancanus,0,0,,0,0,0,,mono_stable,additional,Cephalopachus bancanus
Tarsius dentatus,75156.0,Tarsius dentatus,9,11,exact,0.57,,4266947.0,9.0,0.0,11.0,0.0,18.0,18.0,22.0,22.0,Tarsiidae,Tarsius dentatus,tarsiidae,tarsius,dentatus,0,0,,0,0,0,,mono_stable,additional,Tarsius dentatus
Tarsius pumilus,43689.0,Tarsius pumilus,1,1,exact,0.89,,2436488.0,0.0,1.0,0.0,11.0,1.0,2.0,1.0,12.0,Tarsiidae,Tarsius pumilus,tarsiidae,tarsius,pumilus,0,0,,0,0,0,,mono_stable,additional,Tarsius pumilus
Tarsius syrichta,1369286.0,Carlito syrichta,268,338,exact,6.65,,2436484.0,3.0,1.0,12.0,1.0,271.0,272.0,350.0,351.0,Tarsiidae,Tarsius syrichta,tarsiidae,tarsius,syrichta,0,0,,0,0,0,,mono_stable,additional,Carlito syrichta
Tarsius tarsier,1064525.0,Tarsius tarsier,3,6,exact,0.54,,4266949.0,2.0,15.0,4.0,47.0,5.0,20.0,10.0,57.0,Tarsiidae,Tarsius tarsier,tarsiidae,tarsius,tarsier,0,0,,0,0,0,,mono_stable,additional,Tarsius tarsier
Trachypithecus delacouri,75185.0,Trachypithecus delacouri,110,178,exact,2.4,,4267062.0,76.0,0.0,123.0,0.0,186.0,186.0,301.0,301.0,Cercopithecidae,Trachypithecus delacouri,cercopithecidae,trachypithecus,delacouri,0,0,,0,0,0,,mono_stable,additional,Trachypithecus delacouri
Trachypithecus vetulus,1369308.0,Semnopithecus vetulus,694,1058,exact,11.21,,2436534.0,12.0,4.0,23.0,22.0,706.0,710.0,1081.0,1103.0,Cercopithecidae,Trachypithecus vetulus,cercopithecidae,trachypithecus,vetulus,0,0,,0,0,0,,mono_stable,additional,Semnopithecus vetulus
Varecia variegata,43615.0,Varecia variegata,337,566,exact,5.13,,2436424.0,240.0,41.0,464.0,73.0,577.0,618.0,1030.0,1103.0,Lemuridae,Varecia variegata,lemuridae,varecia,variegata,0,0,,0,0,0,,mono_stable,additional,Varecia variegata
